117	40	86
118	40	142
119	40	832
187	69	1409
188	69	1672
189	69	1627
190	69	991
239	86	972
240	86	212
273	97	1607
274	97	1012
275	97	1477
276	97	1377
309	110	708
310	110	124
312	110	1298
313	111	1869
314	111	733
315	111	1096
348	124	637
349	124	1241
350	124	886
351	125	584
353	125	1385
367	130	1629
369	1760	130
370	130	1281
394	139	725
395	1600	139
396	139	1612
402	142	972
403	142	604
404	142	790
432	153	886
433	153	872
434	153	865
445	158	1551
446	158	1752
447	158	1196
448	158	1232
481	172	1738
483	172	1856
484	855	172
520	186	1515
521	186	1710
522	186	1551
523	186	1752
579	212	1000
612	1463	226
613	226	1043
614	226	1321
615	227	1608
616	227	806
617	227	1276
618	227	1184
710	266	953
711	266	1836
712	266	651
738	278	1841
739	278	1568
740	278	1572
741	278	1265
768	291	1739
769	291	1547
770	291	958
771	292	1647
772	292	1626
773	292	1256
774	292	1331
799	305	1503
800	305	1756
801	305	1674
802	305	1840
826	317	1526
827	317	1787
828	317	1407
851	330	442
852	330	1721
853	331	1691
854	331	1396
855	331	917
872	342	604
873	342	797
874	342	874
917	364	1437
918	364	725
919	364	1672
920	364	1612
921	365	718
922	365	1410
923	365	399
954	381	925
955	381	1837
956	381	1509
991	399	796
1038	420	1516
1039	420	1498
1040	420	1033
1061	430	1385
1062	430	830
1073	435	1306
1074	435	1808
1075	435	1772
1091	442	1049
1092	442	604
1096	444	1704
1097	444	1503
1098	444	1271
1099	444	1674
1175	476	1514
1176	476	1745
1177	476	1407
1178	476	921
1186	479	1777
1187	659	479
1188	1787	479
1210	489	1715
1211	489	981
1212	489	1256
1272	515	1859
1273	515	1265
1274	938	515
1338	542	1859
1339	542	1419
1340	542	1865
1352	548	1634
1353	548	1803
1376	559	1000
1377	559	667
1411	579	925
1412	579	1846
1413	579	1396
1422	584	1061
1423	584	956
1424	584	1127
1434	588	953
1435	588	1238
1458	602	1675
1459	602	1121
1464	604	1049
1478	611	1169
1479	611	1127
1480	611	949
1487	615	1856
1488	615	1336
1489	615	1341
1490	615	967
1522	633	820
1523	633	1724
1524	633	785
1529	637	716
1530	637	1477
1531	637	708
1532	638	1012
1533	638	928
1534	638	1377
1535	638	1405
1540	641	1340
1541	641	1445
1550	647	928
1551	647	1308
1552	647	1405
1553	647	709
1561	651	1578
1574	659	1711
1575	1757	659
1576	659	1751
1577	660	1404
1578	660	1796
1579	660	1626
1590	667	832
1591	667	790
1609	677	1719
1610	677	1892
1611	677	1685
1666	709	1573
1667	709	1318
1674	713	806
1675	713	1575
1676	713	1184
1677	1744	713
1681	716	772
1684	718	1730
1685	718	1482
1686	718	796
1690	721	1476
1691	721	1266
1692	721	1708
1696	725	1690
1698	727	790
1699	727	979
1700	727	1007
1710	733	1759
1721	741	1516
1723	741	1498
1724	741	1495
1750	760	1719
1751	760	776
1752	760	1655
1760	768	1520
1761	768	928
1762	768	1308
1768	772	1607
1769	772	1477
1773	774	1009
1774	774	1176
1775	774	1083
1778	776	1652
1779	776	1496
1790	785	1643
1792	785	1176
1803	790	874
1813	796	1264
1815	797	1721
1816	797	1219
1830	806	1760
1831	806	1281
1858	820	1778
1859	820	1698
1860	820	1864
1872	827	960
1873	827	1770
1874	827	1860
1879	830	1323
1880	830	1585
1883	832	1000
1912	847	1649
1913	847	1609
1924	855	1858
1925	855	1412
1926	855	1730
1929	858	1897
1930	858	984
1931	858	1660
1932	1690	858
1947	865	1627
1948	865	1298
1949	865	1258
1956	869	1706
1957	869	1671
1962	872	970
1963	872	1687
1964	872	1627
1966	874	1219
1967	874	979
1987	886	970
1991	889	1783
1992	889	1691
1993	889	917
1999	893	1627
2000	893	1567
2001	893	1258
2013	900	1660
2014	900	1437
2015	900	1318
2020	904	1184
2021	904	1744
2022	904	1704
2023	904	1503
2048	917	1568
2049	917	1572
2055	921	1803
2060	925	974
2061	925	1044
2063	928	1550
2077	938	1419
2078	938	1574
2089	946	1346
2090	946	1551
2091	946	1360
2092	946	1196
2095	949	1040
2096	949	1397
2097	949	1389
2103	953	1736
2104	953	1578
2108	956	1361
2109	956	1546
2112	958	979
2113	958	1007
2115	959	1320
2116	1759	959
2117	959	1648
2119	960	1316
2120	960	1428
2131	967	1467
2136	970	1241
2137	970	1405
2142	974	1364
2143	1596	974
2144	974	1557
2153	981	1584
2154	981	1647
2158	984	1225
2159	984	1096
2168	991	1696
2169	991	1169
2170	991	1567
2175	995	1635
2176	995	1860
2177	995	1671
2178	995	1706
2198	1009	1461
2199	1009	1536
2200	1009	1259
2203	1012	1057
2227	1033	1089
2228	1033	1483
2238	1040	1169
2239	1040	1564
2241	1043	1655
2242	1043	1757
2243	1044	1476
2244	1044	1846
2256	1057	1547
2257	1057	1607
2263	1061	1696
