Link,Node_Start,Longitude_Start,Latitude_Start,Node_End,Longitude_End,Latitude_End,Length
5498,1804,104.1082439,30.65965928,1316,104.1082024,30.66401277,482.5098221
5499,1686,104.1111198,30.66475146,1316,104.1082024,30.66401277,291.246986
5500,1808,104.1084008,30.66561391,1316,104.1082024,30.66401277,178.4684952
5501,1672,104.0155067,30.68723514,1318,104.0141882,30.68538655,240.68207
5502,1409,104.0093726,30.68765838,1318,104.0141882,30.68538655,525.5226886
5503,1438,104.078117,30.71337306,1319,104.0739313,30.71549927,464.9588651
5504,1393,104.0286031,30.67985354,1320,104.0293844,30.67764865,255.5746297
5505,1346,104.0694782,30.66964496,1321,104.0681003,30.66950393,132.9276698
5506,1360,104.0682796,30.6717139,1321,104.0681003,30.66950393,245.5339831
5507,1385,104.0250491,30.69704864,1323,104.027512,30.69823421,270.0120595
5508,1483,104.0289982,30.69883277,1323,104.027512,30.69823421,157.0425144
5509,1879,104.0033292,30.65809677,1325,104.0043249,30.66031361,263.5666066
5510,1408,104.1214847,30.62452531,1326,104.1187349,30.62386306,273.5881396
5511,1545,104.1144887,30.62671291,1326,104.1187349,30.62386306,515.1667446
5512,1369,104.0331073,30.68902882,1328,104.0321046,30.68820264,132.6995449
5513,1598,104.0564645,30.63764945,1330,104.058422,30.63692932,203.862154
5514,1703,104.0594489,30.63864347,1330,104.058422,30.63692932,213.9600738
5515,1515,104.0748457,30.66695776,1331,104.0713876,30.66829663,363.0218572
5516,1346,104.0694782,30.66964496,1331,104.0713876,30.66829663,236.2037848
5517,1551,104.0723581,30.66972895,1331,104.0713876,30.66829663,183.9708818
5518,1875,104.0387774,30.64694972,1335,104.0387773,30.64862074,185.2001801
5519,1830,104.094616,30.66956628,1336,104.0936842,30.67180601,263.7923888
5520,1701,104.0966037,30.67264048,1336,104.0936842,30.67180601,294.5838901
5521,1666,104.0079121,30.72021768,1338,104.0051809,30.72262325,373.465262
5522,1414,104.0971174,30.70973187,1339,104.0939086,30.71128143,352.0180966
5523,1821,104.0595641,30.65197016,1340,104.0581861,30.65264309,151.6435643
5524,1701,104.0966037,30.67264048,1341,104.0958335,30.67466937,236.6580219
5525,1818,104.1026121,30.67671597,1341,104.0958335,30.67466937,687.8360725
5526,1406,104.0925699,30.67906708,1341,104.0958335,30.67466937,579.0514479
5527,1570,104.0515755,30.69104677,1343,104.0488623,30.69056278,265.3601771
5528,1402,104.1111282,30.68377369,1344,104.1128606,30.68484116,203.7975913
5529,1434,104.1133952,30.6836135,1344,104.1128606,30.68484116,145.3780304
5530,1887,104.0086395,30.63769829,1345,104.0110177,30.63872881,254.9241698
5531,1853,104.0148886,30.64035526,1345,104.0110177,30.63872881,412.4430027
5532,1359,104.0101395,30.64049511,1345,104.0110177,30.63872881,213.0852745
5533,1591,104.0362054,30.71200494,1348,104.0345205,30.71425947,297.4371296
5534,1877,104.0472428,30.62601943,1350,104.0457096,30.62679263,170.1116038
5535,1788,104.1003679,30.65428692,1351,104.1026521,30.65777585,444.3221833
5536,1754,104.1082528,30.65517353,1351,104.1026521,30.65777585,609.2264249
5537,1599,104.0999471,30.65896984,1351,104.1026521,30.65777585,291.0021815
5538,1639,104.034529,30.68488876,1353,104.036421,30.6870016,296.1030508
5539,1576,104.0376705,30.68553984,1353,104.036421,30.6870016,201.4251449
5540,1369,104.0331073,30.68902882,1353,104.036421,30.6870016,388.872583
5541,1430,104.0719539,30.71412139,1354,104.067618,30.71452282,417.5756659
5542,1825,104.0533352,30.66116566,1355,104.0491177,30.66265943,436.6823745
5543,1684,104.0587728,30.72356968,1357,104.0558211,30.72479253,313.437054
5544,1699,104.0558705,30.72777242,1357,104.0558211,30.72479253,330.3006646
5545,1861,104.0136529,30.64204591,1359,104.0101395,30.64049511,378.0341955
5546,1800,104.0683853,30.67345172,1360,104.0682796,30.6717139,192.8683508
5547,1465,104.0221166,30.68845756,1361,104.0202459,30.68950455,213.477024
5548,1427,104.0314734,30.66097788,1363,104.0335172,30.66419865,407.1407467
5549,1763,104.0378879,30.66164635,1363,104.0335172,30.66419865,505.3501363
5550,1863,104.0349573,30.67009888,1363,104.0335172,30.66419865,668.3247262
5551,1758,104.0729416,30.64481732,1364,104.0726607,30.64669137,209.4380693
5552,1786,104.0774485,30.64502758,1364,104.0726607,30.64669137,494.4690868
5553,1630,104.0156181,30.70091315,1365,104.0101791,30.70649574,808.8014416
5554,1606,104.008411,30.70810933,1365,104.0101791,30.70649574,246.2823304
5555,1399,104.0299614,30.65658206,1367,104.0304595,30.65771852,134.6960658
5556,1488,104.0879327,30.65204871,1368,104.089307,30.65441059,293.0218828
5557,1767,104.0392578,30.63682457,1371,104.0424412,30.63531088,348.1679614
5558,1852,104.1027836,30.63833514,1372,104.100512,30.63473368,454.6575978
5559,1642,104.0642488,30.69975695,1373,104.0640751,30.70255712,310.7910098
5560,1394,104.07187,30.70269426,1373,104.0640751,30.70255712,746.6731035
5561,1621,104.0637486,30.70517334,1373,104.0640751,30.70255712,291.640521
5562,1382,104.0777751,30.69046771,1374,104.0762716,30.6863729,476.1285209
5563,1709,104.0112513,30.65234786,1375,104.0110726,30.65470198,261.4719247
5564,1697,104.015711,30.65440143,1375,104.0110726,30.65470198,445.700541
5565,1896,104.0063237,30.65464674,1375,104.0110726,30.65470198,455.0742964
5566,1416,104.0716869,30.65684818,1376,104.0733239,30.65602721,181.324511
5567,1661,104.0252664,30.64770209,1379,104.0243652,30.64894136,162.243029
5568,1707,104.0243967,30.65035249,1379,104.0243652,30.64894136,156.4262643
5569,1584,104.0684967,30.6609573,1380,104.0685263,30.65898704,218.3823809
5570,1423,104.0494476,30.6731609,1383,104.0502855,30.6751566,235.2999851
5571,1717,104.0543066,30.67334374,1383,104.0502855,30.6751566,434.4642783
5572,1634,104.0467099,30.67706348,1383,104.0502855,30.6751566,402.4812684
5573,1803,104.0514072,30.67709606,1383,104.0502855,30.6751566,240.3174388
5574,1578,104.0863404,30.65755893,1384,104.0881928,30.66001727,325.171265
5575,1443,104.0867086,30.66062918,1384,104.0881928,30.66001727,157.553437
5576,1683,104.0913322,30.63488636,1388,104.0952575,30.63396936,389.6741548
5577,1564,104.0099861,30.69678059,1389,104.0114888,30.69862622,250.1123158
5578,1464,104.0847123,30.66162768,1392,104.0833203,30.66231551,153.6166738
5579,1440,104.0844988,30.66419702,1392,104.0833203,30.66231551,237.1350352
5580,1648,104.0267466,30.67975536,1393,104.0286031,30.67985354,178.1734333
5581,1582,104.0263815,30.68325348,1393,104.0286031,30.67985354,432.7638555
5582,1509,104.0698233,30.65116749,1396,104.0701792,30.65189819,87.8722986
5583,1615,104.0166913,30.69941532,1397,104.0147331,30.69819801,231.0326626
5584,1789,104.0309005,30.65657928,1399,104.0299614,30.65658206,89.98096423
5585,1749,104.0229439,30.65622063,1399,104.0299614,30.65658206,673.5888892
5586,1762,104.0746648,30.66106452,1400,104.0734954,30.66161953,127.8212461
5587,1404,104.0719509,30.66243375,1400,104.0734954,30.66161953,173.320963
5588,1796,104.0744995,30.66310274,1400,104.0734954,30.66161953,190.465174
5589,1552,104.0638103,30.68828603,1401,104.0672473,30.68824176,329.2418329
5590,1694,104.0298934,30.66792296,1403,104.0266969,30.66826907,308.6322849
5591,1647,104.0697571,30.6627216,1404,104.0719509,30.66243375,212.5972994
5592,1687,104.0078677,30.68522261,1405,104.0066113,30.6827291,301.4289481
5593,1586,104.06481,30.67529443,1407,104.0631321,30.67607279,182.4279611
5594,1687,104.0078677,30.68522261,1409,104.0093726,30.68765838,306.0372569
5595,1481,104.0350137,30.65903884,1411,104.0385396,30.65746299,380.3083831
